 it |         mu |                G(beta/2) per orbital |                 orbital occs up+down |      impurity occ
  0 |    0.00612 |   -0.09865     -0.09865     -0.09865 |    0.33326      0.33326      0.33326 |           0.99979
  1 |    0.00612 |   -0.00858     -0.05186     -0.03999 |    0.12508      0.63952      0.30404 |           1.06865
